	en	es	ja
hLog20200630	MeteoNook has been rewritten from scratch to be more robust and updatable, and is now open-source. There is a new Overview page that shows you information about your upcoming weather and lets you store island information. The seed finder has been made easier to use by adding more 'not sure' options and it can now tolerate small errors in shooting star timing. Dates will now show in M/D/Y format if you select "English (US)".	MeteoNook ha sido reescrito para hacerlo mas robusto y mas fácil de actualizar, y ahora tiene su código abierto. Hay una nueva pestaña, 'Ahora', que muestra información sobre el tiempo actual y que permite guardar los datos de tu isla. El buscador de semillas es más fácil de usar porque tiene mas opciones del tipo 'no estoy seguro' y ahora soporta pequeños fallos en el horario de meteoritos. Además, el idioma "English (US)" ahora muestra las fechas en el formato mes/día/año.	MeteoNook は、よりロバストで更新しやすいようにゼロから書き直され、オープンソースとなりました。新しい概要ページの追加や、今後の天気に関する情報を表示し、島の情報を保存することができます。シードファインダーは、より多くの不明オプションを追加することにより、より使いやすくなりました。英語(US)を選択した場合、日付がM/D/Y形式で表示されるようになりました。
hLog20200702	Initial support for 1.3.0. There are still a couple of necessary changes (Fine02 and Fine06 have changed slightly) which will be implemented tomorrow.	Soporte inicial para la versión 1.3.0. Aun quedan algunas cosas que hay que resolver con cambios en los patrones Fine02 y Fine06.	1.3.0の初期サポート。まだいくつかの必要な変更（Fine02とFine06が若干変更されています）がありますが、明日実装される予定です。
hLog20200708	Full support for 1.3.0. Light showers are now shown on the Overview tab.	Soporte completo para la versión 1.3.0. Las lluvias leves de meteoritos ahora aparecen en la pestaña 'Ahora'.	1.3.0に完全対応。概要タブにライトシャワーが表示されるようになりました。
hTFAQ	Frequently Asked Questions	Preguntas frecuentes	よくある質問
hQSeed	Will my seed change if I time travel?	¿Cambiará mi semilla si viajo en el tiempo?	タイムトラベルするとシードは変わってしまいますか？
hASeed	No. It's picked randomly when you create your island and never changes.	No. La semilla se determina cuando entras en tu isla por primera vez, y nunca cambia.	いいえ。シードは島を作った時にランダムに割り当てられ、変わることはありません。
hQCeleste	Where is Celeste?	¿Dónde esta Estela?	フーコはいつ来ますか？
hACeleste	At the start of the week, the game picks a random day for Celeste to appear out of the days that have meteor showers. This is fully random and not based on the seed, and cannot be predicted.	Cada semana, el juego escoge un día con lluvia de meteoritos para que Estela aparezca. Esta selección es al azar, no pertenece a la semilla ambiental, y no se puede prever.	あつ森では、週の初めにその週の流れ星が来る日の中からフーコが現れる日がランダムに選択されます。これはシードによらず完全にランダムなため、予測することはできません。
hQWind	What does the 🍃 mean?	¿Que quiere decir la 🍃?	🍃 は何のマークですか？
hAWind	The number represents the strength or speed of the wind. 0 is completely calm, 1 is a breeze, and 5 is the maximum that you can get in AC:NH. It does nothing useful whatsoever, but the effect it has on items like palm trees and the clothes line is quite amusing.	El número significa la fuerza o velocidad del viento. 0 es completamente tranquilo, 1 es un pequeño viento, y 5 es el nivel maximo que puedes tener en AC:NH. El viento no tiene utilidad en el juego para nada, pero el efecto que tiene en objetos como las palmeras y los tendederos es bastante gracioso.	この数字は風の強さを表しています。0は無風、1はそよ風、5はあつ森の最大風速です。これは何かの役に立つ数字ではありませんが、ヤシの木や服のなびき方などの要素に影響があります。
hQStarVis	Why are the times for stars greyed out or in bold on the Overview tab?	En la pestaña Ahora, ¿por qué hay horarios de meteoritos en gris o en negrita?	概要タブで星がグレーアウトまたは太字になっている時刻があるのはのはなぜですか？
hAStarVis	During a light shower, you have a small random chance of seeing five shooting stars every minute between 19H and 04H. MeteoNook analyses the schedule to try and figure out when multiple groups of stars appear close to each other. The times in <span class='cluster-dense'>bold</span> are when you can expect to see quite a few stars. On the other hand, the times that are <span class='cluster-light'>faded out</span> are when stars are few and far between.%%This lets you see at a glance roughly when to play if you want to get more. Of course, you can always click 'see more' for exact times.	Durante una lluvia leve de meteoritos, hay una pequeña probabilidad que aparezcan 5 meteoritos cada minuto entre las 19H y las 04H. MeteoNook hace analices en el horario para intentar ver cuando multiples grupos de meteoritos aparecen cerca uno del otro. Los tiempos <span class='cluster-dense'>en negrita</span> son cuando debes esperar meteoritos con una frecuencia media alta. Por otra parte, los tiempos <span class='cluster-light'>en gris</span> son cuando aparecen meteoritos con frecuencia mas baja.%%Esto permite ver fácilmente a que hora debes jugar si quieres ver mas meteoritos. Sin embargo, siempre puedes hacer clic en 'ver más' para el horario preciso.	軽い流れ星の時は、19時から4時の間に毎分5つの流れ星が来ることがあります。 MeteoNookはスケジュールを分析して、複数の流れ星のグループが短い期間に複数発生する時刻を探します。 <span class = 'cluster-dense'>太字</ span>の時間は、かなりの数の流れ星が見えると予想できる時です。一方、<span class = 'cluster-light'>グレーアウト</ span>されるのは、流れ星が少なく、間隔が空いている時です。%%これにより、多くの流れ星を見るためにいつプレイすれば良いかを大まかに確認できます。もちろん、[もっと見る]をクリックしていつでも正確な時刻を確認できます。
hQStar130	Why am I seeing more shooting stars with the same seed than I did before?	No he cambiado la semilla, ¿por qué estoy viendo más meteoritos que antes?	同じシードで以前よりも多くの流れ星が見られるのはなぜですか？
hAStar130	Seeds have <u>not</u> changed, but version 1.3.0 (the Summer Update Wave 1, where diving was added) has changed a couple of aspects in the weather system. Previously, during a light shower, shooting stars could only appear between 19H and 04H in hours where the weather was <b>clear/fine</b>. In 1.3.0, they can also appear during hours when the weather is <b>sunny</b>.%%Two of the three 'light shower' patterns have also been changed. Fine02 is now cloudy at 18H and sunny at 19H (previously the other way round), and Fine06 is now cloudy at 17H and sunny at 19H (previously the other way round). The seed finder will accept both the old and new versions of these patterns.	Las semillas <u>no</u> han cambiado, pero desde la versión 1.3.0 (la actualización de verano, Vol. 1, en cuál añadieron el buceó) han cambiado un par de reglas en el sistema ambiental. Anteriormente, en días con lluvia leve, los meteoritos solo podían aparecer entre las 19H y las 04H durante horas con tiempo <b>claro</b>. En 1.3.0, los meteoritos también aparecen en horas con tiempo <b>soleado</b>.%%Ademas, dos de los tres patrones para lluvias leves tienen pequeños cambios. El patrón Fine02 ahora esta nublado a las 18H y soleado a las 19H (anteriormente al revés), y el patrón Fine06 ahora esta nublado a las 17H y soleado a las 19H (anteriormente al revés). El buscador de semillas acepta las nuevas versiones de estos patrones tanto como las antiguas.	シードは変更されていませんが、バージョン1.3.0（夏のアップデート第1弾、ダイビングの追加）では、気象システムのいくつかの点が変更されています。以前は、小雨が降っている間、流れ星は天気が<b>快晴</b>の時間帯の19時から4時までの間にしか現れませんでした。1.3.0では、<b>晴れ</b>の時間帯にも流れ星が出現するようになりました。Fine02は18時に曇り、19時に晴れるようになりました（以前は逆でした）、Fine06は17時に曇り、19時に晴れるようになりました（以前は逆でした）。シードファインダーはこれらのパターンの旧バージョンと新バージョンの両方を受け入れます。
hQMoreData	Why does it say I need more data?	¿Por qué me pide mas datos?	なぜさらにデータが必要と表示されるのですか？
hAMoreData	There are over 2 billion possible weather seeds, but only one is correct for your island. MeteoNook goes through every single possibility, calculates the weather it would give, and checks it against the data you provide. If it doesn't make sense (e.g. you said you had rain at a given time, but the seed would make it sunny) then that possibility is ignored.%%During testing, we've had success with the following combinations...%%-The known dates for between 5 and 7 heavy showers%%-The known hour and minute times for stars in a light shower, spanning between 1 and 3 hours%%-The known hour, minute and second times for a few different stars in a light shower%%-The known dates and times for between 5 and 7 rainbows%%It is of course heavily randomised, though. You might get lucky and find yours with less information, or you might need more!	Hay más de 2 billones de semillas, pero solo una vale para tu isla. MeteoNook hace pruebas con cada semilla, calcula el tiempo que daría, y lo compara con los datos que tú introduces. Si no coincide (por ejemplo, dijiste que tuviste lluvia a cierta hora, pero la semilla daría sol) la semilla será descartada.%%En nuestras pruebas, hemos tenido suerte con estas combinaciones...%%-Las fechas para entre 5 y 7 lluvias fuertes de meteoritos%%-Los horarios (con hora y minuto) para meteoritos en una lluvia leve, entre 1 a 3 horas%%- Los horarios (con hora, minuto y segundo) para unos cuantos meteoritos distintos en una lluvia leve%%-Las fechas y horarios para entre 5 y 7 arcoíris%%Pero más allá de eso, el sistema ambiental es muy aleatorio. Puedes tener suerte y encontrar tu semilla con menos información, o puedes necesitar más.	あなたの島のシードは、20億以上の天気のシードのうち、たった一つです。MeteoNookはすべての可能性を調べ、それのシードによる天気を計算し、あなたが提供したデータと照合します。もしそれが合致しない場合（例えば、ある時刻に雨が降ったと記録されたが、シードでは晴れになっている）、そのシードは無視されます。 %%-５〜７回の激しい雨が降った日がわかっている%%-軽い流れ星の時間・分（１〜３時間の間隔）がわかっている%%-軽い流れ星の時間・分・秒がわかっている%%-５〜７回の虹が出た日と時間がわかっている%%-これはもちろんランダム化されたものですが、運が良ければこれよりも少ない情報で自分のシードが見つかるかもしれませんし、もっと多くの情報が必要になるかもしれません。
hQNoSeeds	Why can't it find my seed?	¿Por qué no encuentra mi semilla?	なぜ私のシードが見つからないのですか？
hANoSeeds	One mistake in the data you enter will be enough to stop MeteoNook from finding the correct seed. This tends to happen with weather types, as it's easy to mix them up. If you're not completely sure, then select the appropriate "not sure" option. It doesn't narrow down the options as quickly as selecting a specific type, but it's less risky - a slow but correct result is better than no result!	Un error en los datos que introduces es suficiente para que MeteoNook no pueda encontrar la semilla correcta. Esto suele pasar con los tipos del tiempo, porque es fácil confundir uno con otro. Si no estás completamente seguro, elige la opción "No estoy seguro" en la sección correspondiente. No elimina tantas opciones como si eligieras un tipo especifico, pero tiene menos riesgo - ¡un resultado correcto y lento es mejor que ningún resultado!	あなたが入力したデータに一つのミスがあっただけで、MeteoNookは正しいシードを見つけることができなくなります。これは、天候の種類が混ざっている場合に起こりがちです。完全にはわからない場合は、不明のオプションを選択してください。こうすることで、特定のタイプを選択するように素早く選択肢を絞り込むことはできませんが、リスクを減らすことができます。
hQBadSeed	It gave me a seed, but the results are wrong!	Me ha dado una semilla, ¡pero el pronóstico está mal!	シードが判明したのに、結果が間違っている!
hABadSeed	This happens sometimes, it sucks. What's most likely happened is that there was a mistake somewhere in your data and MeteoNook has found a seed which fits what you asked for, but doesn't actually match what your island uses. Try changing your weather types to "not sure", just in case it's a mistake with cloud types. If that doesn't help, you may have to collect new data.	Esto pasa de vez en cuando. Lo más probable es que haya un error en tus datos y MeteoNook haya encontrado una semilla que encaja con tus datos, pero en verdad no es la semilla que tu isla tiene. Intenta cambiar los tipos del tiempo a "no estoy seguro", por si acaso es un error en los tipos de nubes. Si no ayuda, quizás tengas que obtener nuevos datos.	これは時々起こりえます。最も可能性が高いのは、データのどこかに間違いがあって、MeteoNookがあなたの入力したものと一致するシードを見つけたが、実際にはあなたの島が使用しているものと一致していないことです。雲の種類を間違えているかもしれない場合は、天気の種類を「不明」に変更してみてください。それでも解決しない場合は、新しいデータを収集する必要があるかもしれません。
hQAdd	Will you add X...?	¿Vas a añadir X...?	機能追加の予定はありますか......？
hAAdd	Maybe. No promises.	Tal vez. No prometo nada.	追加するかもしれません。約束はできません。
hQDonate	Can I give you money?	¿Puedo darte dinero?	寄付することはできますか？
hADonate	Since a few people asked me on Discord and Twitter, I've added some links to the footer. Please don't feel obligated to do so, though!	Ya que alguna gente me preguntó en Discord y en Twitter, he puesto unos enlaces al final de la página. ¡Pero ten en cuenta que no hay obligación de nada!	DiscordやTwitterで何人かに聞かれたので、ページ下部にリンクを貼っておきました。でも、義務感は感じないでくださいね!
hQSource	Will this be open source?	¿Vas publicar el código fuente?	これはオープンソースですか？
hASource	This new version of MeteoNook is available on GitHub under the GNU Affero GPL 3.0. The repository link is at the bottom of this page.	Esta nueva versión de MeteoNook está publicada en GitHub, con la licencia GNU Affero GPL 3.0. El enlace está al final de esta pagina.	この新しいバージョンのMeteoNookはGitHubでGNU Affero GPL 3.0の下で利用可能です。リポジトリへのリンクはこのページの一番下にあります。
			
sIntro	Before you can forecast your island's weather, you'll need to determine what weather seed it has. This tool will find it for you once you've provided enough data about your island's weather. The more information you provide, the easier it will be!	Para obtener previsiones en tu isla, tendrás que determinar la semilla ambiental. Esta herramienta te ayudará a encontrarla con los datos que introduces sobre el tiempo en tu isla. Cuanta más información, ¡más fácil será!	あなたの島の天気を予測する前に、その島がどのような天気のシードを持っているかを特定する必要があります。このツールは、あなたの島の天気について十分なデータを提供すると、あなたのシードを見つけることができます。あなたが提供する情報が多ければ多いほど、特定は簡単になります。
sTTypes	Weather Types	Tipos de tiempo	天気の種類
sTypes1	Each hour in Animal Crossing has a type of weather - clear ☀️, sunny 🌤, cloudy 🌥️️, rain clouds ☁, rain/snow 🌧 and heavy rain/snow ⛈️. If you know what type you have in a particular hour, then add it in this section.	Cada hora en Animal Crossing tiene asociado un tipo de tiempo - claro ☀️, soleado 🌤, nublado 🌥️️, nube de lluvia ☁, lluvia/nieve 🌧 y lluvia/nieve fuerte ⛈️. Si sabes qué tipo tienes a una cierta hora, añádelo en esta sección.	どうぶつの森の各時間には、天気のタイプがあります - 快晴☀️、晴れ 🌤、曇り 🌥️、雨雲 ☁、雨・雪 🌧、大雨・大雪 ⛈️。特定の時間帯にどの天気だったかが分かっていれば、このセクションに追加してください。
sTypes2	Clouds are easiest to identify at the start of the hour (X:00), so if the sky is fully clear at 13:00, then 13H is definitely <b>clear ☀️</b>. At 13:30, the weather will be a mix of the 13H weather and the 14H weather.%%Rain and snow last for the whole hour, so if you see rain at any point between 13H and 14H, then 13H is definitely <b>rain/snow 🌧</b> or <b>heavy rain/snow ⛈️</b>.%%If you're not sure about the cloud type within a given hour, you can pick one of the 'Not sure' options.%%You don't need to enter these on days where you've seen a heavy shower, rainbow or aurora borealis, because that information is good enough to pin down that day's pattern perfectly.	Las nubes son más fáciles de identificar al comienzo de la hora (X:00), así que si el cielo esta completamente claro a las 13:00, puedes estar seguro de que 13H es <b>claro ☀️</b>. A las 13:30, el tiempo será una mezcla entre el tiempo de las 13H y el tiempo de las 14H.%%Lluvia y nieve duran por la hora entera, así que si ves lluvia en cualquier punto entre las 13H y las 14H, sabes que el tiempo a las 13H es <b>lluvia/nieve 🌧</b> o <b>lluvia/nieve fuerte ⛈️</b>.%%Si no estás seguro de qué tipo de nubes tienes, puedes elegir una de las opciones 'No estoy seguro'.%%No necesitas esta información en días en que has visto una lluvia fuerte de meteoritos, un arcoíris o la aurora, porque esos temas son bastante para adivinar el patrón del día sin margen de error.	雲は1時間の開始時(X:00)に最も識別しやすいので、13:00に空が完全に晴れていれば、13時は間違いなく<b>快晴☀️</b>です。13:30になると、13時の天気と14時の天気のミックスになります。%%雨と雪は1時間ずっと続くので、13時と14時の間のどこかで雨が降っていたら、13時は間違いなく<b>雨・雪 🌧</b>か<b>大雨・大雪 ⛈️</b>です。 %%特定の時間内の雲の種類がわからない場合は、「不明」オプションのいずれかを選択することができます。
sTStars	Shooting Star Times	Horario de Meteoritos	流れ星の時刻
sStars	If you note down the exact in-game time (hour and minute) when shooting stars have appeared during a meteor shower, then this information will help the process. You will always get 5 or 8 shooting stars in a minute where they appear.%%If you're sure that there are no stars in a specific time period, you can add it to the Gaps section to help the algorithm out. The <b>Make from Times</b> button will automatically create gaps between every time you've put in.%%By clicking <b>Edit Seconds</b>, you can add down-to-the-second times for each star. This is a very good way to find your seed quickly, but it can be very difficult to get the timing correct as the in-game clock doesn't show seconds.%%<b>Heavy showers</b> will give you 5 or 8 stars a minute, very frequently (every other minute on average), between 19H and 04H. <b>Light showers</b> will give you 5 stars a minute, in very rare bursts.	Si apuntas el tiempo exacto (hora y minuto) según el reloj del juego en que aparecen unos meteoritos, estos datos te ayudarán a encontrar tu semilla. En cada minuto con meteoritos, siempre habrán 5 u 8.%%Si estás seguro de que no aparecen meteoritos en un periodo de tiempo, puedes añadirlo a la sección de Huecos para ayudar al proceso. El botón <b>Hacer del horario</b> creará huecos entre los meteoritos que ya has puesto.%%Si haces clic en <b>Segundos</b>, puedes poner tiempos precisos hasta el segundo para cada meteorito. Es una manera muy eficaz de buscar tu semilla, pero también es muy difícil determinar los tiempos porque el reloj en el juego no muestra los segundos.%%Las <b>lluvias fuertes</b> te darán 5 u 8 meteoritos cada minuto, con alta frecuencia (en el 50% de los minutos, de media), entre las 19H y las 04H. Las <b>lluvias leves</b> te darán 5 meteoritos cada minuto, con muy baja frecuencia.	流星群の間に流れ星が出現した正確なゲーム内の時刻（時と分）をメモしておくと、この情報が処理の助けになります。特定の時間帯に流れ星が出現していないことを確認した場合、アルゴリズムの助けになるため、流れ星が来なかった時間帯のセクションに追加することができます。<b>M流れ星の時刻から入力</b>ボタンをクリックすると、入力した時間ごとに自動的に時間帯が作成されます。これは、自分のシードを素早く見つけるための非常に良い方法ですが、ゲーム内時計に秒が表示されないため、タイミングを合わせるのが非常に難しい場合があります。<b>軽い流れ星</b>の場合は、非常にまれに1分間に5つの流れ星が流れます。
sTTips	Tips	Sugerencias	ヒント
sTips	-Don't put info in if you're not completely sure about it.%%-Look through screenshots and videos you've taken <b>on your island</b> (not on Nook Miles Ticket islands or when visiting other players) for records of your weather. In the Switch album, you can press A to see the date and time they were taken. You may be able to get more accurate times by transferring them to a microSD card and reading them from your computer.%%-⚠️ The EventDay00 weather pattern (clear weather with no shooting stars) will be forced on the day K.K. Slider performs for the first time, and any day you add a new player (Switch profile) to your island. Do not use data from these days!%%-⚠️ Days in Animal Crossing start and end at <b>05H</b>, so if you log weather or shooting stars after midnight, make sure you put them on the same calendar date as the ones before midnight.	-No introduzcas información si no estás completamente seguro.%%-Mira los pantallazos y vídeos que has grabado <b>en tu isla</b> (descartando las islas de millas Nook y las islas de otros jugadores) para obtener el histórico del tiempo. En las fotos de Switch, puedes pulsar A para ver la fecha y la hora en que se grabaron. Tal vez puedes obtener tiempos mas precisos si las pasas a una tarjeta microSD y miras los archivos en tu ordenador.%%-⚠️ El patrón EventDay00 (claro sin meteoritos) es forzado en el día del primer concierto de Totakeke, y cualquier día que añades un jugador nuevo a la isla. No utilizes datos de estos días.%%-⚠️ Los días en Animal Crossing comienzan y acaban a las <b>05H</b>, así que si grabas tiempo o meteoritos a partir de la medianoche y antes de las 05H, asegúrate de que los pones en la misma fecha que los que grabaste antes de la medianoche.	-完全に確信が持てない場合は、情報を入力しないでください。Switch のアルバムでは、Aボタンを押すと、撮影された日時が表示されます。microSDカードに転送してパソコンから読み込むことで、より正確な時刻を知ることができるかもしれません。%%-⚠️ EventDay00の天気パターン(流れ星のない晴天)は、とたけけが初めて演奏した日と、島に新しいプレイヤー(Switchのユーザー)を追加した日に強制的に発生します。これらの日のデータは使用しないでください！%%-⚠️ どうぶつの森の1日は<b>5時</b>から始まり、<b>5時</b>で終わるので、0時を過ぎてから天気や流れ星をログに記録する場合は、前の日の日付にするようにしてください。
			
tStep1	Step 1: Enter your Information	Paso 1: Introduce tu información	Step 1: 情報を入力しましょう
tNorthernHemi	Northern hemisphere	Hemisferio norte	北半球
tSouthernHemi	Southern hemisphere	Hemisferio sur	南半球
tnorthern	northern	norte	北
tsouthern	southern	sur	南
tSpecialDay	Careful: In the {hemi} hemisphere, this day is <b>{day}</b>!{warn}	Aviso: En el hemisferio {hemi}, este día es <b>{day}</b>!{warn}	注意:  {hemi} 半球では, この日は <b>{day}</b>です！{warn}
tSpDayWarnEv	This forces the EventDay00 weather pattern if you have the event unlocked.	Esto fuerza el patrón EventDay00 si tienes este evento activo.	イベントが解禁された日は強制的にEventDay00の天気パターンになります。
tSpDayWarnRS	This forces the EventDay00 weather pattern if you have Resident Services upgraded.	Esto fuerza el patrón EventDay00 si has reformado la oficina de gestión vecinal.	住人サービスがアップグレードされた日は強制的にEventDay00の天気パターンになります。
tSpDayWarn	This forces the EventDay00 weather pattern.	Esto fuerza el patrón EventDay00.	強制的にEventDay00の天気パターンになります。
tResetBlurb	Your pattern data will automatically be saved to your browser, so you can close the page and come back later. Click here to start over:	Tus datos de patrón se guardarán automáticamente en tu navegador, así que puedes cerrar la pagina y volver después. Haz clic aquí para empezar de nuevo:	入力したパターンのデータは自動的にブラウザに保存され、ページを閉じても再度開くと復元されます。ここをクリックするとやり直すことができます。
tResetButton	Reset Data	Borrar datos	データのリセット
tExportBlurb	To get support with MeteoNook, you might need to supply your data. Click here to export it to JSON format:	Para obtener soporte técnico con MeteoNook, quizás tendrás que ofrecer tus datos. Haz clic aquí para exportarlos al formato JSON:	MeteoNookのサポートを受けるには、データを提供する必要がある場合があります。ここをクリックしてJSON形式にエクスポートします。
tExportButton	Export Data	Exportar datos	データのエクスポート
tTPatterns	Special Patterns	Patrones especiales	特別なパターン
tNoData	No data, or not sure	No tengo datos, o no estoy seguro	データなし、もしくは不明
tShower	Meteor shower or visit from Celeste	Lluvia de meteoritos o visita de Estela	流れ星もしくはフーコの来訪
tRainbow	Rainbow	Arcoíris	虹
tAuroraN	Aurora borealis	Aurora boreal	オーロラ
tAuroraS	Aurora australis	Aurora astral	オーロラ
tNone	None of the above	Ninguno de estos	上記に該当なし
tTShower	Meteor Shower Info	Información de meteoritos	流れ星の情報
tHeavy	Heavy shower (mentioned by Isabelle or villagers, 5-8 stars a minute)	Lluvia fuerte (anunciado por Canela o tus vecinos, 5-8 meteoritos por minuto)	流星群 (しずえもしくは住人の発言があった場合、1分あたり5〜8個の流れ星が流れている場合)
tLight	Light shower (5 stars a minute, coming in rare bursts)	Lluvia leve (5 meteoritos cada minuto, con muy baja frecuencia)	軽い流れ星 (1分あたり5個の流れ星が流れている場合、頻繁に流れない場合)
tNotSure	Not sure	No estoy seguro	不明
tTTimes	Times when stars appeared	Horario de meteoritos	流れ星が流れた時刻
tEditSeconds	Edit Seconds	Editar segundos	秒数を入力
tAddTime	Add Time	Añadir hora	時刻を追加
tEnoughTimes	You have enough now!	¡Tienes bastante!	十分な情報を入力済み
tTGaps	Gaps with no stars	Huecos sin meteoritos	流れ星が来なかった時間帯
tTo	to	hasta	〜
tAddGap	Add Gap	Añadir un hueco	時間帯を追加
tMakeFromTimes	Make from times	Crear a partir del horario	流れ星の時刻から入力
tTTypes	Weather Types	Tipos de tiempo	天気の種類
tAddType	Add Type	Añadir un tipo	種類を追加
tPatterns	Possible patterns:	Patrones posibles:	可能性のあるパターン
tPatternsNone	<span class='text-danger'>none</span>. Double-check your info!	<span class='text-danger'>ninguno</span>. ¡Comprueba tus datos!	<span class='text-danger'>該当なし</span> 入力内容を確認してください！
tTRainbow	Rainbow Info	Información de arcoíris	虹の情報
tTime	Time	Tiempo	時刻
tDoubleRainbow	Double rainbow	Arcoíris doble	二重の虹
tTAurora	Aurora Info	Información de la aurora	オーロラの情報
tAuroraFit	Which of these patterns fit?	¿Cuál de estos patrones encaja?	これらのどのパターンですか？
tStep2	Step 2: Find your Seed	Paso 2: Encuentra tu semilla	Step 2: シードを見つけましょう
tStart	Start Search	Comenzar búsqueda	検索を開始
tCancel	Cancel Search	Cancelar búsqueda	検索をキャンセル
tWorking	Searching...	Buscando...	検索中...
tInfoDefault	Once you've filled in the information above, click Start Search to begin the process.	Cuando hayas rellenado los datos, haz clic en 'Comenzar búsqueda' para... comenzar la búsqueda.	上部の情報を入力して、検索を開始をクリックしてください。
tInfoRunning	Searching, hold on...	Buscando, espera...	検索中、そのままお待ちください...
tInfoRunningC	Searching, hold on... Found {count} so far: {seeds}	Buscando, espera... {count} encontrada: {seeds}	検索中、そのままお待ちください... {count} 個のシードが見つかりました: {seeds}
tInfoPossibleSeeds	1 possible seed | {n} possible seeds	1 semilla posible | {n} semillas posibles	1 つのシード候補 | {n} 個のシード候補
tInfoMoreData	You haven't entered enough weather information to narrow down your island's seed.	Estos datos no son suficientes para determinar la semilla ambiental en tu isla.	あなたの島のシードを絞り込むには入力された情報が不足しています
tInfoNoSeeds	There are no seeds that match the information you entered. Please double-check it!	No hay semillas que encajen con los datos que has puesto. ¡Compruébalos, por favor!	あなたの入力した情報に合うシードが見つかりませんでした。入力内容を確認してください！
tInfoMultiSeed	It looks like there are {count} seeds that fit the information you've given: {seeds}. You can look at these by clicking on each one to try it and to see how it compares to your island, or you can add more data above and try searching again.	Parece que hay {count} semillas que encajan con la información que has puesto: {seeds}. Si quieres comprobarlas, puedes hacer clic en cada una para probarla y ver cómo se comparan con el tiempo en tu isla. Si no, añade más datos en este paso e intenta buscar otra vez.	入力された情報に合う {count} 個のシードが見つかりました: {seeds}。それぞれをクリックして確認し、自分の島と比較してみるか、上部にデータを追加して再度検索してみてください。
